uuid,datetime,species,number_morbidity,disease_id,number_mortality,total_number_cases,location
05a170b6-0bc4-41e6-9dd9-b9b30313b2d8,2021-05-05 15:38:28,pig,5,5,0,5,Village 3
72a5399d-a035-4324-9f47-feb2bb1eb4a0,2021-05-03 12:11:10,cat,2,4,0,2,Village 3
2ad7d909-2792-4851-a932-7ad37cd8c64c,2021-05-11 15:06:53,chicken,5,9,2,7,Village 2
713f6f60-35b1-4edb-8b09-2453aad44278,2021-05-07 15:36:44,dog,4,3,0,4,Health Centre B
f22dfebf-cd72-4e3e-beab-58c93aad82d9,2021-05-11 16:06:43,sheep,1,3,2,3,Village 3
baa67d98-ddc7-4545-8739-59fb7489331f,2021-05-04 11:55:50,cat,1,7,0,1,Village 1
bbef2885-b326-49dd-b449-c088ac86c469,2021-05-01 11:08:30,dog,2,0,5,7,Health Centre A
e8e29406-1445-4b95-9e9a-afbfc9b0df03,2021-05-07 17:54:56,sheep,4,3,2,6,Village 3
6301292b-46f1-44ea-b0f1-7116faf9140f,2021-04-28 09:11:29,cat,1,6,0,1,Village 3
08440197-3102-4a18-818e-4a4b73e21310,2021-05-01 16:24:02,pig,5,7,2,7,Health Centre B
cdfc1b84-0d78-44cf-9726-e68dc576410e,2021-05-11 10:55:30,buffalo,4,1,0,4,Village 3
61a53b29-6c28-4793-bbce-825067514e22,2021-05-11 11:01:23,dog,4,5,5,9,Village 3
40f88af6-931d-4877-85d9-cd5dcc6a0926,2021-05-06 15:37:33,pig,6,6,2,8,Health Centre A
d1a8b8bf-44fb-4eac-ad20-db27111f5a7e,2021-05-01 12:05:36,pig,6,5,5,11,Village 3
f5ddb2f9-19eb-4613-8623-cdc2fd75fa3e,2021-05-01 15:49:26,sheep,2,0,0,2,Village 2
8a4fadc5-6855-4fcb-8c6a-de0f983bdfa5,2021-05-04 18:10:33,dog,3,2,4,7,Health Centre A
62f1031e-7da7-4cea-9b63-a1971f6ac32a,2021-05-08 09:51:27,buffalo,3,7,1,4,Village 2
85aa86cc-430e-4c83-9653-d47ee48413f7,2021-05-01 13:03:21,chicken,5,5,2,7,Village 3
3f13e312-8ced-4bdb-b309-43a4c21fa5b7,2021-04-30 11:58:47,pig,6,3,3,9,Village 2
62fb7022-6ed3-4601-a0d8-d2c9ea1ac57c,2021-05-08 18:41:40,cat,6,9,1,7,Village 2
c5d180d7-08ba-48d8-a96b-01931d14ff3e,2021-04-27 15:41:54,sheep,4,3,1,5,Village 2
8435b592-2dd9-4102-bfcc-ed5e505fc418,2021-05-05 17:17:17,buffalo,3,0,0,3,Village 3
8d3012df-5eda-4c56-8d43-b17cfddeebcb,2021-04-28 10:44:11,chicken,3,1,0,3,Village 3
f5ed5135-b584-42ae-9217-bce47b3f320a,2021-05-11 15:17:29,cat,6,1,3,9,Village 2
432214fd-d7c8-4540-b458-8f96d853eaf4,2021-04-30 10:01:10,dog,6,6,3,9,Village 1
6983542f-5cea-44ed-a37e-d8877820ca6c,2021-05-06 17:47:30,buffalo,3,9,4,7,Health Centre B
d9e1e28b-05db-4d90-8531-8611c1d02f48,2021-05-01 09:45:12,cat,3,5,1,4,Village 2
861b5c65-6129-4b69-b948-503c590ab10a,2021-05-07 13:18:12,dog,2,5,0,2,Village 1
157c8ec4-8bea-424c-8ddc-09570e057198,2021-04-27 10:14:11,sheep,3,4,2,5,Village 1
b8c7cc2e-bf6b-4a6c-8f8e-946be8d7e8a1,2021-05-03 13:04:11,dog,4,1,5,9,Health Centre B
8a7d32cb-3f5d-415f-8f98-f54392005c0b,2021-05-05 17:27:53,pig,4,4,1,5,Health Centre A
6c345ed4-2006-48ae-88f4-37abb57f679f,2021-05-09 13:54:02,chicken,5,1,1,6,Village 3
1be75581-fe0c-4efc-a90b-6db41cf90dc7,2021-04-28 17:19:12,pig,5,0,1,6,Health Centre A
5dfad94a-6a72-49f8-980c-b5751e60449c,2021-05-01 14:07:34,cat,2,7,0,2,Health Centre A
f825f7ec-03ce-44d7-a3e0-2feaec939e40,2021-04-27 10:57:25,buffalo,1,1,0,1,Village 2
a1b6039f-1312-4f9c-9943-c299441a5cf0,2021-04-30 15:44:01,sheep,4,7,0,4,Health Centre B
d874f16d-52ec-4f05-a27f-148b20289aa5,2021-05-08 12:46:24,pig,2,3,4,6,Village 1
2bebff3e-10e0-462c-bc9d-c2a783511c34,2021-04-30 09:41:51,chicken,1,7,2,3,Health Centre A
ec0e9474-c3ea-4030-9578-759750eb3e8f,2021-04-30 17:28:03,buffalo,2,7,3,5,Village 2
12847969-9f7a-44d4-b43e-d81a08bec1ff,2021-05-07 18:32:13,pig,4,2,0,4,Village 1
8b188c27-2c8f-4e6b-a9b6-083bb4698fb2,2021-05-07 10:21:33,buffalo,3,7,0,3,Health Centre B
